Timestamp,Value_Stream,Batch_ID,Product_SN,Station_ID,Tester_Type,Status,Error_Code,Measured_Value,Cost_Impact,Shift,Team
2026-05-25 04:01:05,VS4,DC-2621,SN-000001,SPI,In-line,PASS,NONE,100%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:05,VS4,DC-2621,SN-000001,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:54,VS4,DC-2621,SN-000001,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:16,VS4,DC-2621,SN-000001,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:43,VS4,DC-2621,SN-000001,Reflow_Oven,In-line,PASS,NONE,-0.4 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:26,VS4,DC-2621,SN-000001,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:01:08,VS4,DC-2621,SN-000002,SPI,In-line,PASS,NONE,108%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:05,VS4,DC-2621,SN-000002,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:26,VS4,DC-2621,SN-000002,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:48,VS4,DC-2621,SN-000002,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:32,VS4,DC-2621,SN-000002,Reflow_Oven,In-line,PASS,NONE,-1.1 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:29,VS4,DC-2621,SN-000002,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:01:42,VS4,DC-2621,SN-000003,SPI,In-line,PASS,NONE,101%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:03,VS4,DC-2621,SN-000003,PnP,In-line,PASS,NONE,0.04mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:44,VS4,DC-2621,SN-000003,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:16,VS4,DC-2621,SN-000003,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:15,VS4,DC-2621,SN-000003,Reflow_Oven,In-line,FAIL,ERR_TEMP_OOR,3.8 C,9.55,06:00-14:00,Brygada 1
2026-05-25 04:04:47,VS4,DC-2621,SN-000003,AOI_Post,In-line,FAIL,ERR_TOMBSTONE,NA,6.51,06:00-14:00,Brygada 1
2026-05-25 04:01:58,VS4,DC-2621,SN-000004,SPI,In-line,PASS,NONE,105%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:19,VS4,DC-2621,SN-000004,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:17,VS4,DC-2621,SN-000004,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:06,VS4,DC-2621,SN-000004,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:04,VS4,DC-2621,SN-000004,Reflow_Oven,In-line,PASS,NONE,-0.2 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:38,VS4,DC-2621,SN-000004,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:24,VS4,DC-2621,SN-000005,SPI,In-line,FAIL,ERR_INSUFF_PASTE,131%,12.08,06:00-14:00,Brygada 1
2026-05-25 04:03:13,VS4,DC-2621,SN-000005,PnP,In-line,PASS,NONE,0.02mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:44,VS4,DC-2621,SN-000005,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:41,VS4,DC-2621,SN-000005,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:20,VS4,DC-2621,SN-000005,Reflow_Oven,In-line,PASS,NONE,+0.5 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:10,VS4,DC-2621,SN-000005,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:21,VS4,DC-2621,SN-000006,SPI,In-line,PASS,NONE,90%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:13,VS4,DC-2621,SN-000006,PnP,In-line,PASS,NONE,0.01mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:00,VS4,DC-2621,SN-000006,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:31,VS4,DC-2621,SN-000006,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:27,VS4,DC-2621,SN-000006,Reflow_Oven,In-line,PASS,NONE,-0.2 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:57,VS4,DC-2621,SN-000006,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:44,VS4,DC-2621,SN-000007,SPI,In-line,PASS,NONE,100%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:18,VS4,DC-2621,SN-000007,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:05,VS4,DC-2621,SN-000007,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:51,VS4,DC-2621,SN-000007,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:45,VS4,DC-2621,SN-000007,Reflow_Oven,In-line,PASS,NONE,-0.6 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:16,VS4,DC-2621,SN-000007,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:13,VS4,DC-2621,SN-000008,SPI,In-line,PASS,NONE,100%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:11,VS4,DC-2621,SN-000008,PnP,In-line,PASS,NONE,0.01mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:47,VS4,DC-2621,SN-000008,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:17,VS4,DC-2621,SN-000008,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:04,VS4,DC-2621,SN-000008,Reflow_Oven,In-line,PASS,NONE,-0.0 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:57,VS4,DC-2621,SN-000008,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:38,VS4,DC-2621,SN-000009,SPI,In-line,FAIL,ERR_INSUFF_PASTE,137%,2.70,06:00-14:00,Brygada 1
2026-05-25 04:04:26,VS4,DC-2621,SN-000009,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:23,VS4,DC-2621,SN-000009,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:01,VS4,DC-2621,SN-000009,Transport,In-line,FAIL,ERR_BOARD_JAM,NA,5.67,06:00-14:00,Brygada 1
2026-05-25 04:06:42,VS4,DC-2621,SN-000009,Reflow_Oven,In-line,FAIL,ERR_TEMP_OOR,6.4 C,6.14,06:00-14:00,Brygada 1
2026-05-25 04:07:28,VS4,DC-2621,SN-000009,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:11,VS4,DC-2621,SN-000010,SPI,In-line,PASS,NONE,97%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:48,VS4,DC-2621,SN-000010,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:42,VS4,DC-2621,SN-000010,AOI_Pre,In-line,FAIL,ERR_TOMBSTONE,NA,12.74,06:00-14:00,Brygada 1
2026-05-25 04:06:06,VS4,DC-2621,SN-000010,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:51,VS4,DC-2621,SN-000010,Reflow_Oven,In-line,PASS,NONE,+0.4 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:35,VS4,DC-2621,SN-000010,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:18,VS4,DC-2621,SN-000011,SPI,In-line,PASS,NONE,110%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:47,VS4,DC-2621,SN-000011,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:12,VS4,DC-2621,SN-000011,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:35,VS4,DC-2621,SN-000011,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:05,VS4,DC-2621,SN-000011,Reflow_Oven,In-line,PASS,NONE,-1.4 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:38,VS4,DC-2621,SN-000011,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:32,VS4,DC-2621,SN-000012,SPI,In-line,PASS,NONE,91%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:27,VS4,DC-2621,SN-000012,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:08,VS4,DC-2621,SN-000012,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:57,VS4,DC-2621,SN-000012,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:47,VS4,DC-2621,SN-000012,Reflow_Oven,In-line,PASS,NONE,+1.0 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:34,VS4,DC-2621,SN-000012,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:04,VS4,DC-2621,SN-000013,SPI,In-line,PASS,NONE,106%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:53,VS4,DC-2621,SN-000013,PnP,In-line,PASS,NONE,0.04mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:49,VS4,DC-2621,SN-000013,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:44,VS4,DC-2621,SN-000013,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:40,VS4,DC-2621,SN-000013,Reflow_Oven,In-line,FAIL,ERR_TEMP_OOR,6.7 C,13.18,06:00-14:00,Brygada 1
2026-05-25 04:09:03,VS4,DC-2621,SN-000013,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:12,VS4,DC-2621,SN-000014,SPI,In-line,PASS,NONE,104%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:57,VS4,DC-2621,SN-000014,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:45,VS4,DC-2621,SN-000014,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:24,VS4,DC-2621,SN-000014,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:24,VS4,DC-2621,SN-000014,Reflow_Oven,In-line,PASS,NONE,+1.3 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:05,VS4,DC-2621,SN-000014,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:40,VS4,DC-2621,SN-000015,SPI,In-line,PASS,NONE,105%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:29,VS4,DC-2621,SN-000015,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:53,VS4,DC-2621,SN-000015,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:16,VS4,DC-2621,SN-000015,Transport,In-line,FAIL,ERR_SENSOR_TIMEOUT,NA,13.56,06:00-14:00,Brygada 1
2026-05-25 04:07:58,VS4,DC-2621,SN-000015,Reflow_Oven,In-line,PASS,NONE,+0.8 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:49,VS4,DC-2621,SN-000015,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:07,VS4,DC-2621,SN-000016,SPI,In-line,PASS,NONE,99%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:34,VS4,DC-2621,SN-000016,PnP,In-line,PASS,NONE,0.02mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:17,VS4,DC-2621,SN-000016,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:50,VS4,DC-2621,SN-000016,Transport,In-line,FAIL,ERR_BOARD_JAM,NA,11.12,06:00-14:00,Brygada 1
2026-05-25 04:08:47,VS4,DC-2621,SN-000016,Reflow_Oven,In-line,PASS,NONE,+1.2 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:25,VS4,DC-2621,SN-000016,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:11,VS4,DC-2621,SN-000017,SPI,In-line,PASS,NONE,110%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:09,VS4,DC-2621,SN-000017,PnP,In-line,PASS,NONE,0.01mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:41,VS4,DC-2621,SN-000017,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:21,VS4,DC-2621,SN-000017,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:17,VS4,DC-2621,SN-000017,Reflow_Oven,In-line,FAIL,ERR_TEMP_OOR,3.9 C,12.45,06:00-14:00,Brygada 1
2026-05-25 04:09:54,VS4,DC-2621,SN-000017,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:46,VS4,DC-2621,SN-000018,SPI,In-line,PASS,NONE,103%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:38,VS4,DC-2621,SN-000018,PnP,In-line,PASS,NONE,0.01mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:22,VS4,DC-2621,SN-000018,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:44,VS4,DC-2621,SN-000018,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:13,VS4,DC-2621,SN-000018,Reflow_Oven,In-line,PASS,NONE,-0.2 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:10:00,VS4,DC-2621,SN-000018,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:54,VS4,DC-2621,SN-000019,SPI,In-line,PASS,NONE,91%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:07:37,VS4,DC-2621,SN-000019,PnP,In-line,PASS,NONE,0.04mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:08:07,VS4,DC-2621,SN-000019,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:05,VS4,DC-2621,SN-000019,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:09:39,VS4,DC-2621,SN-000019,Reflow_Oven,In-line,PASS,NONE,+1.1 C,0.00,06:00-14:00,Brygada 1
